138000,51
140000,51.5
141000,51.5
142000,51
143000,51
144000,51.5
145000,51.5
146000,51.5
148000,51
149000,51
151000,51.5
152000,51.5
153000,51
155000,51.5
156000,51.5
157000,51.5
158000,51
159000,51
160000,51
161000,51.5
163000,51.5
164000,51.5
166000,51
167000,51.5
168000,51.5
169000,51.5
170000,51
171000,51
172000,51
173000,51.5
174000,51.5
175000,51.5
176000,51
178000,51.5
179000,51.5
180000,51.5
181000,51.5
182000,51
183000,51
184000,51.5
185000,52
186000,51.5
187000,51.5
188000,51
189000,51
190000,51.5
191000,52
193000,51.5
194000,51.5
195000,51
198000,51.5
199000,51.5
200000,51
201000,51
202000,51.5
203000,52
204000,51.5
205000,51.5
207000,51
208000,51.5
209000,52
210000,51.5
211000,51.5
212000,51
213000,51
214000,51.5
215000,52
217000,51.5
218000,51
219000,51
220000,51.5
221000,52
223000,51.5
224000,51.5
225000,51
226000,51
227000,51.5
229000,51.5
230000,51.5
231000,51
232000,51
233000,51.5
234000,52
235000,51.5
236000,51.5
237000,51
238000,51
239000,51.5
240000,52
241000,51.5
243000,51
245000,51.5
246000,52
247000,51.5
248000,51.5
249000,51
251000,51.5
253000,52
254000,52
255000,51.5
256000,51
257000,51
258000,51.5
259000,52
260000,52
261000,51.5
262000,51.5
263000,51
264000,51.5
265000,52
266000,52
267000,51.5
268000,51.5
269000,51
270000,51.5
271000,52
272000,52
274000,51.5
276000,51
277000,51
278000,51.5
279000,52
280000,51.5
281000,51.5
283000,51
284000,51.5
285000,52
286000,52
287000,51.5
288000,51.5
289000,51
290000,51.5
291000,52
294000,51.5
297000,52
298000,52
299000,51.5
301000,51
302000,51
303000,51.5
305000,51.5
306000,51.5
309000,51
310000,51.5
311000,52
312000,52
313000,51.5
314000,51
315000,51
316000,51.5
317000,52
318000,51.5
319000,51.5
320000,51.5
321000,51
322000,51.5
323000,52
324000,52
325000,51.5
326000,51.5
328000,51
329000,52
331000,52
332000,51.5
334000,51
335000,51
336000,51.5
337000,52
339000,51.5
340000,51.5
344000,52
345000,52
346000,52.5
347000,53
349000,54
350000,55
351000,56
352000,57
353000,58.5
354000,59.5
355000,61
356000,62
357000,63.5
358000,65
359000,66
360000,67.5
361000,68
363000,67
364000,66.5
368000,68
369000,67.5
371000,66.5
373000,67
374000,68
375000,67.5
376000,67.5
377000,66.5
378000,66.5
379000,67
382000,67.5
383000,67
384000,66.5
385000,66.5
386000,67.5
387000,68
388000,67.5
390000,66.5
392000,67
393000,68
394000,68
396000,67.5
397000,67
398000,66.5
399000,67
400000,67.5
401000,68
402000,67.5
404000,66.5
405000,66.5
406000,67
407000,68
408000,67.5
410000,67
412000,66.5
413000,67.5
414000,68
415000,67.5
416000,67
419000,67
420000,68
421000,68
422000,67.5
424000,66.5
425000,66
427000,65.5
428000,65.5
429000,65
431000,64.5
432000,64
433000,64
434000,63.5
435000,63.5
436000,63.5
437000,63.5
438000,63
439000,63
440000,63
442000,63.5
443000,63.5
444000,63.5
445000,64
446000,64
447000,64
448000,64.5
449000,64.5
452000,65
454000,65.5
455000,66
456000,66
458000,65.5
459000,65.5
460000,65.5
461000,66
463000,65.5
464000,65.5
465000,65.5
466000,66
467000,66
468000,66
469000,65.5
470000,65.5
471000,65.5
472000,66
473000,66
475000,65.5
476000,65.5
478000,66
479000,66
480000,66
483000,65.5
484000,66
485000,66
486000,65.5
487000,65.5
488000,65.5
489000,66
490000,66
491000,66
492000,65.5
